id,firstname,lastname,birth_date,height_m,weight_kg,age
382,Dejounte,Murray,1996-09-19,1.93,81.6,27
1858,Bruno,Fernando,1998-08-15,2.06,108.9,25
1046,Trae,Young,1998-09-19,1.85,74.4,25
1868,De'Andre,Hunter,1997-12-02,2.03,100.2,25
2629,Onyeka,Okongwu,2000-12-11,2.03,108.9,22
2569,Saddiq,Bey,1999-04-09,2.01,97.5,24
2589,Trent,Forrest,1998-06-12,1.93,95.3,25
2819,Jalen,Johnson,2001-12-18,2.03,99.3,21
365,Patty,Mills,1988-08-11,1.83,81.6,35
341,Wesley,Matthews,1986-10-14,1.93,99.8,37
92,Clint,Capela,1994-05-18,2.08,116.1,29
743,Bogdan,Bogdanovic,1992-08-18,1.98,102.1,31
75,Jaylen,Brown,1996-10-24,1.98,101.2,27
882,Jayson,Tatum,1998-03-03,2.03,95.3,25
897,Derrick,White,1994-07-02,1.93,86.2,29
819,Luke,Kornet,1995-07-15,2.18,113.4,28
1006,Svi,Mykhailiuk,1997-06-10,2.01,93.0,26
2110,Oshae,Brissett,1998-06-20,2.01,95.3,25
970,Wenyen,Gabriel,1997-03-26,2.06,93.0,26
2844,Neemias,Queta,1999-07-13,2.13,112.5,24
2635,Payton,Pritchard,1998-01-28,1.85,88.5,25
2647,Lamar,Stevens,1997-07-09,1.98,104.3,26
2921,DJ,Steward,2001-10-02,1.88,73.9,22
2812,Sam,Hauser,1997-12-08,2.01,98.4,25
2788,Dalano,Banton,1999-11-07,2.01,92.5,24
248,Al,Horford,1986-06-03,2.06,108.9,37
242,Jrue,Holiday,1990-06-12,1.9,93.0,33
432,Kristaps,Porzingis,1995-08-02,2.21,108.9,28
851,Royce,O'Neale,1993-06-05,1.96,102.5,30
481,Ben,Simmons,1996-07-20,2.11,108.9,27
175,Dorian,Finney-Smith,1993-05-04,2.01,99.8,30
940,Mikal,Bridges,1996-08-30,1.98,94.8,27
1038,Lonnie,Walker IV,1998-12-14,1.93,92.5,24
1847,Darius,Bazley,2000-06-12,2.03,94.3,23
1854,Nic,Claxton,1999-04-17,2.11,97.5,24
1871,Cameron,Johnson,1996-03-03,2.03,95.3,27
2325,Armoni,Brooks,1998-06-05,1.9,88.5,25
2848,Day'Ron,Sharpe,2001-11-06,2.06,120.2,22
2855,Cam,Thomas,2001-10-13,1.9,95.3,22
2861,Trendon,Watford,2000-11-09,2.03,107.5,23
142,Spencer,Dinwiddie,1993-04-06,1.98,97.5,30
254,RJ,Hunter,1993-10-24,1.96,83.9,30
458,Terry,Rozier,1994-03-17,1.85,86.2,29
850,Frank,Ntilikina,1998-07-28,1.93,90.7,25
1897,P.J.,Washington,1998-08-23,2.01,104.3,25
2566,LaMelo,Ball,2001-08-22,2.01,81.6,22
2614,Theo,Maledon,2001-06-12,1.93,79.4,22
2639,Nick,Richards,1997-11-29,2.13,111.1,25
2856,JT,Thor,2002-08-26,2.06,92.1,21
227,Gordon,Hayward,1990-03-23,2.01,102.1,33
488,Ish,Smith,1988-07-05,1.83,79.4,35
631,Alex,Caruso,1994-02-28,1.96,84.4,29
765,Torrey,Craig,1990-12-19,2.01,100.2,32
949,Jevon,Carter,1995-09-14,1.85,90.7,28
1900,Coby,White,2000-02-16,1.93,88.5,23
2664,Patrick,Williams,2001-08-26,2.01,97.5,22
2802,Ayo,Dosunmu,2000-01-17,1.93,90.7,23
3081,Carlik,Jones,1997-12-23,1.85,83.9,25
2853,Terry,Taylor,1999-09-23,1.96,104.3,24
136,DeMar,DeRozan,1989-08-07,1.98,99.8,34
534,Nikola,Vucevic,1990-10-24,2.08,117.9,33
147,Andre,Drummond,1993-08-10,2.08,126.6,30
308,Zach,LaVine,1995-03-10,1.96,90.7,28
281,Damian,Jones,1995-06-30,2.11,111.1,28
317,Caris,LeVert,1994-08-25,1.98,93.0,29
391,Georges,Niang,1993-06-17,2.01,104.3,30
840,Donovan,Mitchell,1996-09-07,1.85,97.5,27
727,Jarrett,Allen,1998-04-21,2.08,110.2,25
1025,Zhaire,Smith,1999-06-04,1.9,93.0,24
2051,Max,Strus,1996-03-28,1.96,99.8,27
1860,Darius,Garland,2000-01-26,1.85,87.1,23
1870,Ty,Jerome,1997-07-08,1.96,88.5,26
2392,Dean,Wade,1996-11-20,2.06,103.4,26
2630,Isaac,Okoro,2001-01-26,1.96,102.1,22
2800,Sharife,Cooper,2001-06-11,1.85,79.8,22
2835,Evan,Mobley,2001-06-18,2.11,97.5,22
515,Tristan,Thompson,1991-03-13,2.06,115.2,32
246,Richaun,Holmes,1993-10-15,2.08,106.6,30
283,Derrick,Jones Jr.,1997-02-15,1.98,95.3,26
817,Maxi,Kleber,1992-01-29,2.08,108.9,31
963,Luka,Doncic,1999-02-28,2.01,104.3,24
1901,Grant,Williams,1998-11-30,1.98,107.0,24
2593,Josh,Green,2000-11-16,1.96,90.7,23
2795,Greg,Brown III,2001-09-01,2.01,93.4,22
2862,Joe,Wieskamp,1999-08-23,1.98,93.0,24
2890,A.J.,Lawson,2000-07-15,1.98,81.6,23
261,Kyrie,Irving,1992-03-23,1.88,88.5,31
374,Markieff,Morris,1989-09-02,2.06,111.1,34
215,Tim,Hardaway Jr.,1992-03-16,1.96,93.0,31
123,Seth,Curry,1990-08-23,1.88,83.9,33
433,Dwight,Powell,1991-07-20,2.08,108.9,32
383,Jamal,Murray,1997-02-23,1.9,97.5,26
1055,Amida,Brimah,1994-02-11,2.08,104.3,29
1014,Michael,Porter Jr.,1998-06-29,2.08,98.9,25
2627,Zeke,Nnaji,2001-01-09,2.06,108.9,22
3091,Braxton,Key,1997-02-14,2.03,102.1,26
2840,Jamorko,Pickett,1997-12-24,2.06,93.4,25
286,DeAndre,Jordan,1988-07-21,2.11,120.2,35
264,Reggie,Jackson,1990-04-16,1.88,94.3,33
243,Justin,Holiday,1989-04-05,1.98,81.6,34
89,Kentavious,Caldwell-Pope,1993-02-18,1.96,92.5,30
195,Aaron,Gordon,1995-09-16,2.03,106.6,28
279,Nikola,Jokic,1995-02-19,2.11,128.8,28
931,Marvin,Bagley III,1999-03-14,2.11,106.6,24
987,Kevin,Knox II,1999-08-11,2.01,97.5,24
2557,Jontay,Porter,1999-11-15,2.11,108.9,24
2666,James,Wiseman,2001-03-31,2.13,108.9,22
2599,Killian,Hayes,2001-07-27,1.96,88.5,22
2648,Isaiah,Stewart,2001-05-22,2.03,113.4,22
2801,Cade,Cunningham,2001-09-25,1.98,99.8,22
84,Alec,Burks,1991-07-20,1.98,97.1,32
221,Joe,Harris,1991-09-06,1.98,99.8,32
415,Chris,Paul,1985-05-06,1.83,79.4,38
322,Kevon,Looney,1996-02-06,2.06,100.7,27
593,Gary,Payton II,1992-12-01,1.9,88.5,30
2827,Jonathan,Kuminga,2002-10-06,2.01,102.1,21
2836,Moses,Moody,2002-05-31,1.96,95.7,21
2806,Usman,Garuba,2002-03-09,2.03,103.9,21
186,Rudy,Gay,1986-08-17,2.03,113.4,37
124,Stephen,Curry,1988-03-14,1.88,83.9,35
514,Klay,Thompson,1990-02-08,1.98,99.8,33
287,Cory,Joseph,1991-08-20,1.9,90.7,32
204,Draymond,Green,1990-03-04,1.98,104.3,33
354,Rodney,McGruder,1991-07-29,1.93,93.0,32
548,Andrew,Wiggins,1995-02-23,2.01,89.4,28
468,Dario,Saric,1994-04-08,2.08,102.1,29
